Dates:,CA,TX,FL,NY,PA,IL,OH,GA,NC,MI,NJ,VA,WA,AZ,MA,TN,IN,MO,MD,WI,CO,MN,SC,AL,LA,KY,OR,OK,CT,UT,PR,IA,NV,AR,MS,KS,NM,NE,WV,ID,HI,NH,ME,MT,RI,DE,SD,ND,AK,DC,VT,WY
150,2635.4285714285716,1272.7142857142858,733.5714285714286,1278.142857142857,673.1428571428571,1316.7142857142858,501.0,610.5714285714286,757.0,311.57142857142856,844.0,1095.857142857143,256.7142857142857,508.85714285714283,596.7142857142857,421.0,445.0,165.71428571428572,882.1428571428571,452.14285714285717,329.7142857142857,481.85714285714283,281.42857142857144,519.0,361.7142857142857,210.71428571428572,45.142857142857146,69.0,267.14285714285717,211.14285714285714,9.142857142857142,302.85714285714283,115.57142857142857,202.0,327.7142857142857,113.28571428571429,110.57142857142857,281.0,34.714285714285715,30.428571428571427,1.2857142857142858,69.71428571428571,39.285714285714285,5.714285714285714,125.14285714285714,91.42857142857143,64.0,35.0,8.428571428571429,90.28571428571429,3.142857142857143,9.571428571428571
151,2653.8571428571427,1429.7142857142858,747.7142857142857,1314.857142857143,696.1428571428571,1379.0,477.7142857142857,639.5714285714286,821.2857142857143,289.7142857142857,838.8571428571429,985.2857142857143,256.42857142857144,638.1428571428571,580.2313664596275,487.14285714285717,451.2857142857143,183.42857142857142,926.8571428571429,469.7142857142857,317.57142857142856,438.2857142857143,285.57142857142856,463.7142857142857,384.57142857142856,230.57142857142858,50.42857142857143,79.28571428571429,239.42857142857142,226.0,9.142857142857142,330.42857142857144,119.0,180.42857142857142,327.0,113.28571428571429,127.71428571428571,284.2857142857143,26.714285714285715,40.0,1.2857142857142858,74.0,38.285714285714285,6.285714285714286,118.42857142857143,88.42857142857143,59.142857142857146,32.0,11.0,78.85714285714286,2.7142857142857144,8.857142857142858
152,2672.4285714285716,1478.5714285714287,852.5714285714286,1302.857142857143,657.8571428571429,1360.5714285714287,479.0,639.0,878.4285714285714,274.42857142857144,792.2857142857143,950.8571428571429,293.7142857142857,710.1428571428571,558.8913043478262,502.2857142857143,467.85714285714283,182.14285714285714,937.0,449.7142857142857,327.57142857142856,414.42857142857144,289.7142857142857,429.7142857142857,376.57142857142856,190.42857142857142,52.57142857142857,82.28571428571429,257.57142857142856,255.85714285714286,7.571428571428571,242.14285714285714,116.85714285714286,255.71428571428572,325.42857142857144,119.0,126.85714285714286,284.57142857142856,29.142857142857142,33.42857142857143,1.4285714285714286,72.71428571428571,40.142857142857146,6.285714285714286,114.42857142857143,88.0,64.57142857142857,34.285714285714285,13.428571428571429,87.14285714285714,2.7142857142857144,7.857142857142857
153,2587.1428571428573,1449.142857142857,945.5714285714286,1200.0,645.4285714285714,1275.142857142857,481.0,682.4285714285714,936.2857142857143,259.85714285714283,688.8571428571429,922.1428571428571,296.14285714285717,712.8571428571429,522.408385093168,491.57142857142856,432.57142857142856,197.71428571428572,878.4285714285714,445.14285714285717,319.85714285714283,390.14285714285717,316.7142857142857,394.57142857142856,394.2857142857143,232.57142857142858,51.57142857142857,91.0,240.0,270.2857142857143,6.0,318.85714285714283,126.0,218.42857142857142,312.57142857142856,119.0,141.28571428571428,270.0,26.571428571428573,37.0,1.2857142857142858,70.0,36.714285714285715,7.714285714285714,112.28571428571429,82.14285714285714,64.85714285714286,32.142857142857146,13.0,89.71428571428571,7.285714285714286,6.428571428571429
154,2716.4285714285716,1515.2857142857142,916.7142857142857,1132.0,523.7142857142857,1208.5714285714287,456.0,707.2857142857143,966.7142857142857,243.57142857142858,656.2857142857143,857.0,300.57142857142856,838.1428571428571,497.49689440993825,490.7142857142857,431.42857142857144,208.28571428571428,826.0,393.7142857142857,286.0,382.14285714285717,331.7142857142857,366.2857142857143,455.2857142857143,256.14285714285717,55.42857142857143,81.28571428571429,242.57142857142858,284.0,5.285714285714286,318.0,130.85714285714286,301.85714285714283,281.2857142857143,96.28571428571429,168.42857142857142,265.14285714285717,24.0,40.714285714285715,1.1428571428571428,65.85714285714286,36.57142857142857,6.857142857142857,101.85714285714286,76.71428571428571,58.714285714285715,32.142857142857146,13.857142857142858,94.42857142857143,7.428571428571429,6.0
155,2734.0,1602.142857142857,987.0,1093.7142857142858,525.0,1139.0,439.57142857142856,717.5714285714286,993.1428571428571,227.57142857142858,627.4285714285714,826.5714285714286,304.14285714285717,885.1428571428571,459.58540372670853,500.7142857142857,398.0,211.42857142857142,781.0,365.0,250.0,381.7142857142857,360.2857142857143,383.42857142857144,415.57142857142856,260.42857142857144,62.714285714285715,83.57142857142857,256.57142857142856,323.57142857142856,8.571428571428571,319.14285714285717,137.85714285714286,298.2857142857143,220.0,96.28571428571429,168.0,246.42857142857142,22.428571428571427,44.0,2.142857142857143,67.71428571428571,34.57142857142857,5.0,96.71428571428571,60.42857142857143,58.142857142857146,37.42857142857143,15.142857142857142,78.85714285714286,9.571428571428571,5.857142857142857
156,2604.1428571428573,1527.2857142857142,1061.5714285714287,1046.7142857142858,523.7142857142857,1071.0,423.2857142857143,701.7142857142857,993.8571428571429,200.14285714285714,546.5714285714286,867.7142857142857,311.14285714285717,993.2857142857143,400.81677018633593,482.14285714285717,403.2857142857143,200.85714285714286,742.1428571428571,378.2857142857143,231.85714285714286,380.85714285714283,346.42857142857144,371.0,414.2857142857143,226.14285714285714,68.14285714285714,92.0,252.42857142857142,324.14285714285717,8.571428571428571,302.14285714285717,150.85714285714286,310.42857142857144,252.71428571428572,96.28571428571429,178.71428571428572,234.0,19.142857142857142,42.857142857142854,3.142857142857143,56.0,35.0,4.285714285714286,92.85714285714286,63.42857142857143,63.57142857142857,40.42857142857143,12.285714285714286,75.85714285714286,11.428571428571429,6.285714285714286
157,2616.1428571428573,1533.7142857142858,1108.5714285714287,1012.5714285714286,523.5714285714286,1129.2857142857142,407.57142857142856,697.0,1031.5714285714287,184.42857142857142,527.5714285714286,836.1428571428571,313.14285714285717,1079.2857142857142,351.61956521739194,484.2857142857143,399.0,201.0,725.2857142857143,385.42857142857144,229.42857142857142,362.7142857142857,378.85714285714283,366.0,387.0,204.28571428571428,80.71428571428571,90.28571428571429,192.71428571428572,331.85714285714283,9.857142857142858,327.14285714285717,156.85714285714286,328.14285714285717,288.0,91.28571428571429,180.28571428571428,219.0,19.428571428571427,42.857142857142854,3.2857142857142856,56.285714285714285,34.142857142857146,4.142857142857143,85.14285714285714,52.42857142857143,62.42857142857143,36.42857142857143,13.857142857142858,76.0,12.571428571428571,7.142857142857143
158,2597.0,1526.4285714285713,1188.0,920.2857142857143,506.57142857142856,1012.5714285714286,401.7142857142857,720.2857142857143,1038.7142857142858,152.0,481.0,785.5714285714286,314.57142857142856,1006.5714285714286,338.0481366459634,457.14285714285717,399.42857142857144,191.14285714285714,675.5714285714286,368.42857142857144,222.71428571428572,355.7142857142857,401.85714285714283,397.14285714285717,409.42857142857144,217.57142857142858,88.57142857142857,95.85714285714286,171.42857142857142,336.7142857142857,11.571428571428571,317.14285714285717,171.42857142857142,376.7142857142857,249.71428571428572,91.28571428571429,154.42857142857142,201.0,18.285714285714285,40.42857142857143,3.4285714285714284,54.714285714285715,32.714285714285715,4.428571428571429,79.57142857142857,47.857142857142854,65.14285714285714,36.42857142857143,12.571428571428571,84.0,13.428571428571429,8.285714285714286
159,2643.4285714285716,1640.857142857143,1192.7142857142858,867.2857142857143,492.0,961.5714285714286,397.57142857142856,726.5714285714286,1056.2857142857142,114.28571428571429,482.85714285714283,753.1428571428571,328.85714285714283,1088.4285714285713,314.9052795031062,462.7142857142857,375.0,202.85714285714286,640.4285714285714,344.14285714285717,205.57142857142858,330.0,444.0,448.2857142857143,413.85714285714283,210.42857142857142,93.28571428571429,96.42857142857143,179.42857142857142,338.14285714285717,12.714285714285714,356.57142857142856,176.14285714285714,328.7142857142857,308.7142857142857,91.71428571428571,158.57142857142858,181.71428571428572,16.714285714285715,41.0,4.142857142857143,54.714285714285715,31.285714285714285,5.142857142857143,79.42857142857143,49.142857142857146,63.142857142857146,37.42857142857143,12.857142857142858,74.42857142857143,14.714285714285714,9.285714285714286
